,noop,aioli,mlf,sjf,to,toagg,twins,idxmax
580,3352.3636363636365,14621.818181818182,18008.363636363636,24056.090909090908,23664.81818181818,5481.0,23473.454545454544,sjf
581,3334.3636363636365,14715.363636363636,17661.909090909092,24099.090909090908,23447.81818181818,5554.909090909091,23309.272727272728,sjf
582,3314.4545454545455,14801.272727272728,17900.454545454544,24142.727272727272,23342.090909090908,5579.909090909091,23196.454545454544,sjf
583,3248.0,14667.545454545454,17915.18181818182,24199.454545454544,23899.18181818182,5384.636363636364,23710.18181818182,sjf
584,3432.909090909091,14582.636363636364,17939.545454545456,23990.909090909092,24120.81818181818,5540.090909090909,23993.81818181818,to
585,3131.181818181818,17762.545454545456,19395.727272727272,24040.363636363636,23323.81818181818,7098.636363636364,23357.909090909092,sjf
586,3389.818181818182,17753.454545454544,19458.909090909092,24145.727272727272,23455.272727272728,7028.0,23241.18181818182,sjf
587,3228.909090909091,17835.090909090908,19103.18181818182,24167.0,23555.727272727272,7016.636363636364,23510.81818181818,sjf
588,3377.818181818182,17768.454545454544,18951.81818181818,24235.545454545456,23795.454545454544,6938.363636363636,23772.090909090908,sjf
589,3424.6363636363635,17764.727272727272,18130.0,24056.18181818182,24169.0,7267.363636363636,24024.272727272728,to
590,3018.181818181818,22366.909090909092,22941.727272727272,24118.090909090908,23380.545454545456,11451.363636363636,23393.727272727272,sjf
591,3306.909090909091,22281.363636363636,22887.363636363636,24172.636363636364,23396.909090909092,11836.181818181818,23379.727272727272,sjf
592,3148.4545454545455,22291.909090909092,23021.727272727272,24223.727272727272,23623.636363636364,11622.09090909091,23400.454545454544,sjf
593,3268.909090909091,22256.727272727272,22772.636363636364,24281.454545454544,23878.272727272728,11768.272727272728,23815.272727272728,sjf
594,3187.090909090909,21995.090909090908,22081.81818181818,24132.090909090908,24177.454545454544,11872.272727272728,23998.81818181818,to
595,2995.090909090909,23381.18181818182,23615.272727272728,24278.545454545456,23439.909090909092,16672.18181818182,23377.363636363636,sjf
596,3344.181818181818,23347.81818181818,23698.81818181818,24361.545454545456,23594.0,16634.545454545456,23361.272727272728,sjf
597,3337.818181818182,23216.909090909092,23619.18181818182,24156.272727272728,23540.81818181818,16538.363636363636,23255.636363636364,sjf
598,3036.909090909091,23191.363636363636,23589.363636363636,24374.909090909092,23802.0,16416.0,23742.727272727272,sjf
599,3435.818181818182,22675.636363636364,23298.454545454544,24289.81818181818,24190.545454545456,15643.272727272728,24040.909090909092,sjf
600,3373.181818181818,17305.090909090908,19504.545454545456,23963.727272727272,23560.909090909092,5917.181818181818,23450.272727272728,sjf
601,3352.4545454545455,17263.0,19323.18181818182,24110.545454545456,23232.454545454544,5925.545454545455,23593.18181818182,sjf
602,3362.5454545454545,17204.0,19145.727272727272,24257.090909090908,23421.545454545456,5976.181818181818,23533.090909090908,sjf
603,3058.0,17184.18181818182,19306.272727272728,24258.545454545456,23810.090909090908,5808.636363636364,23614.363636363636,sjf
604,3459.181818181818,16923.090909090908,19154.272727272728,24045.545454545456,24200.636363636364,5848.727272727273,23912.727272727272,to
605,3427.6363636363635,16947.636363636364,18673.363636363636,24221.545454545456,23528.545454545456,6022.454545454545,23343.545454545456,sjf
606,3410.6363636363635,16870.81818181818,18648.636363636364,24184.090909090908,23630.636363636364,5918.727272727273,23462.272727272728,sjf
607,3165.090909090909,16914.0,18518.090909090908,24212.18181818182,23492.727272727272,5911.0,23218.0,sjf
608,3374.3636363636365,16807.272727272728,18737.0,24081.18181818182,23801.454545454544,5875.727272727273,23649.545454545456,sjf
609,3080.2727272727275,16784.0,18296.727272727272,23879.454545454544,24201.272727272728,5879.636363636364,23958.909090909092,to
610,3140.4545454545455,16480.636363636364,18323.090909090908,23906.454545454544,23390.454545454544,5899.272727272727,23288.0,sjf
611,3245.181818181818,16578.0,18184.81818181818,24022.545454545456,23512.454545454544,5928.727272727273,23267.272727272728,sjf
612,3251.3636363636365,16461.454545454544,18214.18181818182,24052.0,23570.545454545456,5937.636363636364,23217.18181818182,sjf
613,3383.2727272727275,16585.090909090908,17826.454545454544,24241.0,23789.272727272728,5989.909090909091,23592.090909090908,sjf
614,3472.6363636363635,16319.272727272728,17134.81818181818,24049.363636363636,24121.272727272728,5939.090909090909,24003.363636363636,to
615,3364.0,16089.636363636364,17575.363636363636,24170.090909090908,23546.545454545456,5951.727272727273,23337.81818181818,sjf
616,3259.909090909091,16106.90909090909,17956.636363636364,24105.363636363636,23506.272727272728,6025.545454545455,23366.545454545456,sjf
617,3393.5454545454545,16150.272727272728,17728.272727272728,24176.363636363636,23357.81818181818,5965.454545454545,23353.454545454544,sjf
618,3335.4545454545455,16139.727272727272,17416.545454545456,24217.272727272728,23973.81818181818,5990.818181818182,23622.81818181818,sjf
619,3082.0,16116.636363636364,16213.181818181818,23875.363636363636,24169.909090909092,5834.090909090909,23940.545454545456,to
620,3183.090909090909,15333.90909090909,17392.272727272728,23951.18181818182,23383.0,6011.818181818182,23457.18181818182,sjf
621,3202.181818181818,15334.818181818182,17311.81818181818,24126.363636363636,23506.636363636364,5937.909090909091,23274.727272727272,sjf
622,3348.2727272727275,15536.545454545454,17571.454545454544,24097.545454545456,23591.454545454544,6026.272727272727,23289.545454545456,sjf
623,3229.2727272727275,15251.545454545454,16658.090909090908,24208.636363636364,23839.454545454544,5834.545454545455,23648.81818181818,sjf
624,2780.7272727272725,16397.0,16327.727272727272,23901.18181818182,24099.909090909092,6800.727272727273,23847.727272727272,to
625,1884.4545454545455,20373.272727272728,21837.727272727272,22538.727272727272,22167.727272727272,16904.0,22078.909090909092,sjf
626,1897.7272727272727,20387.0,22154.454545454544,23017.0,22137.81818181818,16671.545454545456,21909.909090909092,sjf
627,1811.1818181818182,21709.545454545456,22227.272727272728,22866.0,22668.272727272728,16666.81818181818,22469.727272727272,sjf
628,1829.6363636363637,20720.363636363636,21941.545454545456,23591.545454545456,22510.090909090908,16174.363636363636,21810.727272727272,sjf
629,1922.2727272727273,22346.454545454544,22402.636363636364,23362.18181818182,23039.545454545456,16338.90909090909,22963.454545454544,sjf
630,1865.2727272727273,20683.727272727272,21850.454545454544,22874.272727272728,22290.090909090908,16759.545454545456,22757.909090909092,sjf
631,1857.7272727272727,19292.727272727272,21744.363636363636,22969.090909090908,21974.454545454544,16571.545454545456,22564.18181818182,sjf
632,1875.090909090909,19524.0,21880.454545454544,22728.18181818182,21584.81818181818,16771.727272727272,21761.18181818182,sjf
633,1870.7272727272727,19494.636363636364,21684.272727272728,22966.454545454544,22242.727272727272,16506.363636363636,22378.454545454544,sjf
634,1915.5454545454545,21468.909090909092,21811.636363636364,23221.636363636364,23076.909090909092,16145.363636363636,23287.545454545456,twins
635,1877.7272727272727,19622.636363636364,22080.18181818182,22510.363636363636,22050.454545454544,16795.454545454544,22682.18181818182,twins
636,1817.7272727272727,19763.0,21786.090909090908,22478.363636363636,22616.909090909092,16635.909090909092,22549.909090909092,to
637,1809.090909090909,20257.81818181818,21827.545454545456,22800.090909090908,22881.090909090908,16780.0,21962.090909090908,to
638,1888.5454545454545,20308.636363636364,21619.363636363636,22862.727272727272,22163.272727272728,16728.0,21680.81818181818,sjf
639,1968.090909090909,21014.0,21508.363636363636,23520.636363636364,22966.545454545456,16229.727272727272,22478.363636363636,sjf
640,1849.8181818181818,19747.0,21803.727272727272,22747.090909090908,21989.0,16834.0,22198.727272727272,sjf
641,1849.090909090909,20324.18181818182,21829.090909090908,22540.545454545456,22858.81818181818,16569.545454545456,22386.363636363636,to
642,1850.090909090909,19287.636363636364,21300.727272727272,22842.545454545456,21941.0,16944.0,22480.636363636364,sjf
643,1848.6363636363637,20154.545454545456,21183.090909090908,22731.18181818182,22095.454545454544,16674.636363636364,22423.909090909092,sjf
644,1843.1818181818182,19915.272727272728,21518.909090909092,23304.18181818182,22385.0,16550.090909090908,23115.090909090908,sjf
645,1837.7272727272727,19553.909090909092,20539.727272727272,22216.636363636364,21764.090909090908,17332.18181818182,22334.81818181818,twins
646,1886.8181818181818,19393.18181818182,20470.727272727272,22260.090909090908,21911.81818181818,17645.636363636364,22499.909090909092,twins
647,1852.7272727272727,19248.727272727272,20860.909090909092,22191.545454545456,22862.090909090908,17562.909090909092,22678.18181818182,to
648,1847.3636363636363,19494.636363636364,20889.81818181818,22244.545454545456,22451.0,17301.81818181818,22601.727272727272,twins
649,1825.2727272727273,19544.81818181818,20924.363636363636,22865.727272727272,23182.090909090908,17463.636363636364,23306.909090909092,twins
650,1833.1818181818182,21335.727272727272,21216.0,22590.636363636364,22248.727272727272,17114.454545454544,21667.727272727272,sjf
651,1784.0,21471.454545454544,21543.0,22726.18181818182,22119.18181818182,17263.909090909092,21875.18181818182,sjf
652,1870.6363636363637,21628.18181818182,21751.545454545456,22903.727272727272,21759.090909090908,16409.18181818182,21987.18181818182,sjf
653,1894.8181818181818,21354.909090909092,21555.636363636364,22646.0,22257.636363636364,16813.454545454544,21666.909090909092,sjf
654,1919.8181818181818,20617.18181818182,22250.0,23288.727272727272,23487.727272727272,16684.81818181818,22762.454545454544,to
655,1844.8181818181818,21406.090909090908,20963.545454545456,22545.090909090908,21892.81818181818,16951.636363636364,22401.272727272728,sjf
656,1830.090909090909,21499.545454545456,21143.363636363636,23348.636363636364,22382.090909090908,16954.81818181818,22487.090909090908,sjf
657,1844.1818181818182,21131.454545454544,21155.545454545456,22774.727272727272,22174.090909090908,16978.81818181818,22349.18181818182,sjf
658,1798.4545454545455,20632.545454545456,21743.18181818182,23004.454545454544,22439.454545454544,16634.363636363636,22424.909090909092,sjf
659,1871.909090909091,19845.636363636364,22219.545454545456,22896.0,23211.81818181818,16884.727272727272,23419.18181818182,twins
660,1831.8181818181818,20723.454545454544,21621.272727272728,22887.0,22240.545454545456,16957.0,21946.909090909092,sjf
661,1856.2727272727273,20568.272727272728,21731.454545454544,22865.636363636364,22063.18181818182,16851.81818181818,22198.18181818182,sjf
